Altium Designer Pick and Place Locations
C:\repositories\emovilidad\modules\bms\pcbBms\Project Outputs for bms_R00\Pick Place for bmsPanel_R00.txt

========================================================================================================================
File Design Information:

Date:       12/07/24
Time:       11:44
Revision:   31a9c9a3a151db95fe850d60e7393fdb71421268
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                               
TP21       "Test Point"         TopLayer    TEST_POINT_SMD_1    518.701       2470.850      90       ""                                                                                                                        
TP20       "Test Point"         TopLayer    TEST_POINT_SMD_1    463.701       2341.850      90       ""                                                                                                                        
TP19       "Test Point"         TopLayer    TEST_POINT_SMD_1    4659.701      3356.850      90       ""                                                                                                                        
TP18       "Test Point"         TopLayer    TEST_POINT_SMD_1    4113.701      5616.850      90       ""                                                                                                                        
TP17       "Test Point"         TopLayer    TEST_POINT_SMD_1    3993.701      5616.850      90       ""                                                                                                                        
TP16       "Test Point"         TopLayer    TEST_POINT_SMD_1    4578.701      3600.850      90       ""                                                                                                                        
TP15       "Test Point"         TopLayer    TEST_POINT_SMD_1    4503.701      3812.850      90       ""                                                                                                                        
TP14       "Test Point"         TopLayer    TEST_POINT_SMD_1    4425.701      4312.850      90       ""                                                                                                                        
TP13       "Test Point"         TopLayer    TEST_POINT_SMD_1    4338.701      4348.850      90       ""                                                                                                                        
TP12       "Test Point"         TopLayer    TEST_POINT_SMD_1    2368.701      3374.850      90       ""                                                                                                                        
TP11       "Test Point"         TopLayer    TEST_POINT_SMD_1    2464.701      4121.850      90       ""                                                                                                                        
TP10       "Test Point"         TopLayer    TEST_POINT_SMD_1    2360.701      4467.850      90       ""                                                                                                                        
TP9        "Test Point"         TopLayer    TEST_POINT_SMD_1    2296.701      4998.850      90       ""                                                                                                                        
TP8        "Test Point"         TopLayer    TEST_POINT_SMD_1    3913.701      3106.850      90       ""                                                                                                                        
TP7        "Test Point"         TopLayer    TEST_POINT_SMD_1    4373.701      3126.850      90       ""                                                                                                                        
TP6        "Test Point"         TopLayer    TEST_POINT_SMD_1    2563.701      3266.850      90       ""                                                                                                                        
TP5        "Test Point"         TopLayer    TEST_POINT_SMD_1    4033.701      2476.850      90       ""                                                                                                                        
TP4        "Test Point"         TopLayer    TEST_POINT_SMD_1    4373.701      3036.850      90       ""                                                                                                                        
TP3        "Test Point"         TopLayer    TEST_POINT_SMD_1    2653.701      3266.850      90       ""                                                                                                                        
TP2        "Test Point"         TopLayer    TEST_POINT_SMD_1    3683.701      2856.850      90       ""                                                                                                                        
TP1        "Test Point"         TopLayer    TEST_POINT_SMD_1    3683.701      2766.850      0        ""                                                                                                                        
J7         430451212            TopLayer    MOLEX_430451212     4172.866      5193.291      180      "Micro-Fit 3.0 43045
CONN HEADER VERT 12POS 3MM"                                                                         
C28        1µF                  TopLayer    C0603               2658.701      3515.630      90       Capacitor                                                                                                                 
C23        1µF                  TopLayer    C0603               2658.701      3858.071      90       Capacitor                                                                                                                 
E1         N/A                  TopLayer    SPARK_GAP2          4123.701      1556.850      180      "Spark Gap"                                                                                                               
J8         PIN3                 TopLayer    SIP3                4234.701      4744.850      90       ""                                                                                                                        
D23        1N4148W-7-F          TopLayer    SOD-123             2124.701      3455.850      270      "Diode, Ultrafast, 100V, 0.15A, SOD-123"                                                                                  
D17        1N4148W-7-F          TopLayer    SOD-123             2124.701      4396.382      270      "Diode, Ultrafast, 100V, 0.15A, SOD-123"                                                                                  
D16        1N4148W-7-F          TopLayer    SOD-123             2528.701      4771.850      90       "Diode, Ultrafast, 100V, 0.15A, SOD-123"                                                                                  
D10        1N4148W-7-F          TopLayer    SOD-123             3589.701      3125.850      360      "Diode, Ultrafast, 100V, 0.15A, SOD-123"                                                                                  
D8         1N4148W-7-F          TopLayer    SOD-123             2124.701      4903.850      270      "Diode, Ultrafast, 100V, 0.15A, SOD-123"                                                                                  
R63        1.0K                 TopLayer    R0603               1996.236      3462.161      360      Resistor                                                                                                                  
R40        1.0K                 TopLayer    R0603               1534.701      4374.278      360      Resistor                                                                                                                  
R39        10.0K                TopLayer    R0603               1534.701      4314.278      360      Resistor                                                                                                                  
R36        10.0K                TopLayer    R0603               1534.701      4487.921      360      Resistor                                                                                                                  
R34        100.0K               TopLayer    0805_HV_2           3419.701      3260.851      90       Resistor                                                                                                                  
R20        1.0K                 TopLayer    R0603               1996.236      4978.850      360      Resistor                                                                                                                  
Q5         CSD19536KTT          TopLayer    KTT0002A_N          3708.268      834.646       270      "MOSFET, N-CH, 100 V, 200 A, KTT0002A"                                                                                    
Q4         CSD19536KTT          TopLayer    KTT0002A_N          1377.953      1527.559      90       "MOSFET, N-CH, 100 V, 200 A, KTT0002A"                                                                                    
Q3         CSD19536KTT          TopLayer    KTT0002A_N          3425.197      1527.559      90       "MOSFET, N-CH, 100 V, 200 A, KTT0002A"                                                                                    
Q2         CSD19536KTT          TopLayer    KTT0002A_N          1692.914      834.646       270      "MOSFET, N-CH, 100 V, 200 A, KTT0002A"                                                                                    
H4         "NY PMS 440 0025 PH" TopLayer    NY_PMS_440_0025_PH  590.551       5590.551      0        "Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead"                                                               
H3         "NY PMS 440 0025 PH" TopLayer    NY_PMS_440_0025_PH  4527.559      5590.551      0        "Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead"                                                               
H2         "NY PMS 440 0025 PH" TopLayer    NY_PMS_440_0025_PH  590.551       393.701       0        "Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead"                                                               
H1         "NY PMS 440 0025 PH" TopLayer    NY_PMS_440_0025_PH  4527.559      393.701       0        "Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead"                                                               
C18        1µF                  TopLayer    0805_HV_2           2843.738      4241.850      90       Capacitor                                                                                                                 
U6         FS32K118LAT0MLHT     TopLayer    LQFP64-NXP          3923.606      4052.638      0        "ARM® Cortex®-M0+ series Microcontroller IC 32-Bit Single-Core 48MHz 256KB (256K x 8) FLASH 64-LQFP (10x10)"              
U5         TPD1E10B06DPYT       TopLayer    DPY0002A            4016.701      4756.850      180      "ESD Protection in 0402 Package with 10 pF Capacitance and 6 V Breakdown, 1 Channel, -40 to +125 degC, 2-pin X2SON (DPY)" 
U4         TPD1E10B06DPYT       TopLayer    DPY0002A            4017.701      4820.331      180      "ESD Protection in 0402 Package with 10 pF Capacitance and 6 V Breakdown, 1 Channel, -40 to +125 degC, 2-pin X2SON (DPY)" 
U3         BQ78350DBTR-R1       TopLayer    DBT0030A_N          3363.701      4625.331      180      "CEDV Li-Ion Gas Gauge and Battery Management Controller Companion to the bq769x0 Battery Monitoring AFE, DBT0030A"       
U2         BQ7694000DBTR        TopLayer    DBT0044A_N          2448.701      3676.850      180      "Battery Monitor for Lithium-Ion and Phosphate Battery Packs, DBT0044A"                                                   
U1         BQ76200PWR           TopLayer    PW0016A_N           3929.701      2930.850      180      "bq76200: Low-Power, High-Side N-channel FET Driver with Pack Voltage Monitor, PW0016A"                                   
S1         PTS815               TopLayer    PTS815SJK250SMTRLFS 2690.701      5171.850      0        "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                        
RT3        103AT-2              TopLayer    Thermistor_103AT-2  3078.701      3406.850      270      "Thermistor NTC, 10.0k ohm, 1%, Disc, 5x8.4 mm"                                                                           
RT2        103AT-2              TopLayer    Thermistor_103AT-2  3078.701      3611.850      90       "Thermistor NTC, 10.0k ohm, 1%, Disc, 5x8.4 mm"                                                                           
RT1        103AT-2              TopLayer    Thermistor_103AT-2  3078.701      3806.850      90       "Thermistor NTC, 10.0k ohm, 1%, Disc, 5x8.4 mm"                                                                           
RDNP12     0R                   TopLayer    R0603               4135.701      4442.850      270      Resistor                                                                                                                  
RDNP11     0R                   TopLayer    R0603               4195.701      4442.850      270      Resistor                                                                                                                  
RDNP10     0R                   TopLayer    R0603               4269.701      4179.850      180      Resistor                                                                                                                  
RDNP9      0R                   TopLayer    R0603               4269.701      4240.850      180      Resistor                                                                                                                  
RDNP8      0.0R                 TopLayer    R0603               1954.701      3243.509      90       Resistor                                                                                                                  
RDNP7      0.0R                 TopLayer    R0603               1954.701      4072.939      90       Resistor                                                                                                                  
RDNP6      1.0K                 TopLayer    R0603               4524.701      3195.850      270      Resistor                                                                                                                  
RDNP5      1.0K                 TopLayer    R0603               4524.701      3053.331      270      Resistor                                                                                                                  
RDNP4      0.0R                 TopLayer    R0603               1954.701      4730.850      90       Resistor                                                                                                                  
RDNP3      0R                   TopLayer    R0603               4113.701      3176.850      270      Resistor                                                                                                                  
RDNP2      0R                   TopLayer    R0603               4053.701      3176.850      270      Resistor                                                                                                                  
RDNP1      0R                   TopLayer    R0603               3994.701      3176.850      270      Resistor                                                                                                                  
R112       12.0K                TopLayer    R0603               3998.701      4457.850      90       Resistor                                                                                                                  
R111       12.0K                TopLayer    R0603               3758.701      4457.850      90       Resistor                                                                                                                  
R110       12.0K                TopLayer    R0603               3938.701      4457.850      90       Resistor                                                                                                                  
R109       12.0K                TopLayer    R0603               3820.701      4457.850      90       Resistor                                                                                                                  
R108       12.0K                TopLayer    R0603               3878.701      4457.850      90       Resistor                                                                                                                  
R107       12.0K                TopLayer    R0603               4663.701      4816.850      270      Resistor                                                                                                                  
R105       4.7K                 TopLayer    R0603               4375.701      3631.850      270      Resistor                                                                                                                  
R106       61.9R                TopLayer    R0603               4120.701      3399.850      270      Resistor                                                                                                                  
R104       61.9R                TopLayer    R0603               4236.701      3399.850      90       Resistor                                                                                                                  
R103       10.0K                TopLayer    R0603               4411.701      4179.850      180      Resistor                                                                                                                  
R102       10.0K                TopLayer    R0603               4411.701      4240.850      180      Resistor                                                                                                                  
R99        0R                   TopLayer    R0603               3772.701      4699.332      360      Resistor                                                                                                                  
R98        0R                   TopLayer    R0603               3630.701      4521.850      360      Resistor                                                                                                                  
R101       100.0R               TopLayer    R0603               3772.693      4819.332      360      Resistor                                                                                                                  
R100       100.0R               TopLayer    R0603               3772.693      4758.331      360      Resistor                                                                                                                  
R95        1.0K                 TopLayer    R0603               3630.701      4462.850      360      Resistor                                                                                                                  
R94        1.0K                 TopLayer    R0603               3772.701      4640.851      360      Resistor                                                                                                                  
R93        113.0K               TopLayer    R0603               3630.701      4699.331      180      Resistor                                                                                                                  
R92        510.0K               TopLayer    R0603               3630.701      4640.850      180      Resistor                                                                                                                  
R91        510.0K               TopLayer    R0603               3630.701      4819.331      180      Resistor                                                                                                                  
R90        100.0K               TopLayer    R0603               3630.701      4758.331      360      Resistor                                                                                                                  
R97        100.0K               TopLayer    R0603               3065.220      4390.331      180      Resistor                                                                                                                  
R96        1.0M                 TopLayer    R0603               3630.701      4581.850      180      Resistor                                                                                                                  
R89        100.0K               TopLayer    R0603               3183.701      4255.331      270      Resistor                                                                                                                  
R88        100.0K               TopLayer    R0603               3303.701      4255.331      270      Resistor                                                                                                                  
R87        "300.0K 25ppm/°C"    TopLayer    R0603               3266.701      4869.331      360      Resistor                                                                                                                  
R86        "300.0K 25ppm/°C"    TopLayer    R0603               3423.701      4255.331      90       Resistor                                                                                                                  
R85        "300.0K 25ppm/°C"    TopLayer    R0603               3266.701      4930.331      180      Resistor                                                                                                                  
R84        "300.0K 25ppm/°C"    TopLayer    R0603               3482.670      4255.331      270      Resistor                                                                                                                  
R83        220.0K               TopLayer    R0603               3524.701      5180.850      270      Resistor                                                                                                                  
R82        100.0K               TopLayer    R0603               3463.701      5180.850      270      Resistor                                                                                                                  
R81        1.0K                 TopLayer    0805_HV_2           2228.185      2611.851      90       Resistor                                                                                                                  
R80        1.0K                 TopLayer    0805_HV_2           2325.701      2611.851      90       Resistor                                                                                                                  
R79        1.0K                 TopLayer    R0603               1533.701      2637.850      360      Resistor                                                                                                                  
R78        10.0K                TopLayer    R0603               1533.701      2577.850      360      Resistor                                                                                                                  
R77        28.7R                TopLayer    2512                1101.701      2609.850      180      Resistor                                                                                                                  
R76        1.0K                 TopLayer    R0603               1535.701      2811.493      360      Resistor                                                                                                                  
R75        10.0K                TopLayer    R0603               1535.701      2751.493      360      Resistor                                                                                                                  
R74        28.7R                TopLayer    2512                1101.701      2783.493      180      Resistor                                                                                                                  
R73        1.0K                 TopLayer    R0603               1535.701      2985.136      360      Resistor                                                                                                                  
R72        10.0K                TopLayer    R0603               1535.701      2925.136      360      Resistor                                                                                                                  
R71        28.7R                TopLayer    2512                1101.701      2957.136      180      Resistor                                                                                                                  
R70        1.0K                 TopLayer    R0603               1534.701      3158.779      360      Resistor                                                                                                                  
R69        10.0K                TopLayer    R0603               1534.701      3098.779      360      Resistor                                                                                                                  
R68        28.7R                TopLayer    2512                1101.701      3130.779      180      Resistor                                                                                                                  
R67        1.0K                 TopLayer    R0603               1534.701      3332.421      360      Resistor                                                                                                                  
R66        10.0K                TopLayer    R0603               1534.701      3272.422      360      Resistor                                                                                                                  
R65        28.7R                TopLayer    2512                1101.701      3304.421      180      Resistor                                                                                                                  
R64        1.0K                 TopLayer    R0603               1996.236      3391.470      360      Resistor                                                                                                                  
R62        1.0K                 TopLayer    R0603               1534.701      3506.064      360      Resistor                                                                                                                  
R61        10.0K                TopLayer    R0603               1534.701      3446.064      360      Resistor                                                                                                                  
R60        28.7R                TopLayer    2512                1101.701      3478.064      180      Resistor                                                                                                                  
R59        1.0K                 TopLayer    R0603               1534.701      3679.707      360      Resistor                                                                                                                  
R58        499.0K               TopLayer    R0603               2371.693      3216.850      180      Resistor                                                                                                                  
R57        10.0K                TopLayer    R0603               1534.701      3619.707      360      Resistor                                                                                                                  
R56        28.7R                TopLayer    2512                1101.701      3651.707      180      Resistor                                                                                                                  
R55        1.0K                 TopLayer    R0603               1534.701      3853.350      360      Resistor                                                                                                                  
R54        10.0K                TopLayer    R0603               1534.701      3793.350      360      Resistor                                                                                                                  
R53        28.7R                TopLayer    2512                1101.701      3825.350      180      Resistor                                                                                                                  
R52        1.0K                 TopLayer    R0603               1534.701      4026.993      360      Resistor                                                                                                                  
R51        10.0K                TopLayer    R0603               1534.701      3966.993      360      Resistor                                                                                                                  
R50        28.7R                TopLayer    2512                1101.701      3998.993      180      Resistor                                                                                                                  
R49        1.0K                 TopLayer    R0603               1534.701      4200.635      360      Resistor                                                                                                                  
R48        10.0K                TopLayer    R0603               1534.701      4140.636      360      Resistor                                                                                                                  
R47        100.0K               TopLayer    0805_HV_2           2653.701      4241.850      90       Resistor                                                                                                                  
R46        28.7R                TopLayer    2512                1101.701      4172.636      180      Resistor                                                                                                                  
R45        1.0K                 TopLayer    R0603               1996.236      4329.471      360      Resistor                                                                                                                  
R44        1.00K                TopLayer    2010                2718.701      4581.850      180      Resistor                                                                                                                  
R43        1.0K                 TopLayer    R0603               1996.236      4400.161      360      Resistor                                                                                                                  
R42        750.0R               TopLayer    2010                2718.701      4721.850      180      Resistor                                                                                                                  
R41        100.0K               TopLayer    0805_HV_2           2426.977      4776.850      90       Resistor                                                                                                                  
R38        28.7R                TopLayer    2512                1101.701      4346.278      180      Resistor                                                                                                                  
R37        1.0K                 TopLayer    R0603               1534.701      4547.921      360      Resistor                                                                                                                  
R35        28.7R                TopLayer    2512                1101.701      4519.921      180      Resistor                                                                                                                  
R33        1.0K                 TopLayer    R0603               1534.701      4721.564      360      Resistor                                                                                                                  
R32        10.0K                TopLayer    R0603               1534.701      4661.564      360      Resistor                                                                                                                  
R31        28.7R                TopLayer    2512                1101.701      4693.564      180      Resistor                                                                                                                  
R30        1.0K                 TopLayer    R0603               1534.701      4895.207      360      Resistor                                                                                                                  
R29        10.0K                TopLayer    R0603               1534.701      4835.207      360      Resistor                                                                                                                  
R28        28.7R                TopLayer    2512                1101.701      4867.207      180      Resistor                                                                                                                  
R27        10.0M                TopLayer    R0603               3679.701      3257.366      90       Resistor                                                                                                                  
R26        51.0K                TopLayer    R0603               3759.701      3125.850      360      Resistor                                                                                                                  
R25        1.0K                 TopLayer    R0603               1534.701      5068.849      360      Resistor                                                                                                                  
R24        10.0K                TopLayer    R0603               1534.701      5008.850      360      Resistor                                                                                                                  
R23        28.7R                TopLayer    2512                1101.701      5040.850      180      Resistor                                                                                                                  
R22        1.0K                 TopLayer    R0603               1996.236      4908.850      360      Resistor                                                                                                                  
R21        1.0M                 TopLayer    R0603               3817.181      3380.850      0        Resistor                                                                                                                  
R19        10.0M                TopLayer    R0603               3474.701      3475.850      270      Resistor                                                                                                                  
